,0
0,Ladakh
1,Himachal Pradesh
2,Punjab
3,Uttarakhand
4,Haryana
5,Uttar Pradesh
6,Rajasthan
7,Madhya Pradesh
8,Gujarat
9,Chhattisgarh
10,Bihar
11,Jharkhand
12,Odisha
13,West Bengal
14,Sikkim
15,Assam
16,Meghalaya
17,Arunanchal Pradesh
18,Nagaland
19,Manipur
20,Mizoram
21,Tripura
22,Telangana
23,Andhra Pradesh
24,Tamil Nadu
25,Kerala
26,Karnataka
27,Maharashtra
28,Goa
29,Delhi
30,Jammu And Kashmir
31,Andaman And Nicobar
32,Chandigarh
33,Daman And Diu
34,Dadra And Nagar Haveli
35,Lakshadweep
36,Puducherry
